date,num_events,base_score_avg,max_surprise,adjusted_score,impact_pred_baseline,impact_real,error_baseline,amp_optimal,impact_pred_optimal,error_optimal,improvement,ttr_minutes
2025-10-01,2,63.30574015023315,0.0,63.30574015023315,37.382358107898,38.000000000000256,0.617641892102256,2.541305706980786,38.00000000000025,7.105427357601002e-15,0.6176418921022488,95.0
2025-09-02,2,63.30574015023315,0.5628517823639722,63.30574015023315,37.382358107898,36.399999999998656,0.9823581078993442,2.434303361423594,36.399999999998656,0.0,0.9823581078993442,32.0
2025-07-01,2,63.30574015023315,1.7307692307692282,63.30574015023315,37.382358107898,32.10000000000157,5.282358107896428,2.1467345577391233,32.10000000000157,0.0,5.282358107896428,105.0
2025-06-02,2,63.30574015023315,0.5736137667303961,63.30574015023315,37.382358107898,33.10000000000146,4.282358107896542,2.2136110237122937,33.10000000000146,0.0,4.282358107896542,51.0
2025-05-01,2,63.30574015023315,0.9861932938856016,63.30574015023315,37.382358107898,49.59999999999853,12.21764189210053,3.317072712269537,49.59999999999852,7.105427357601002e-15,12.217641892100524,120.0
2025-04-01,2,63.30574015023315,0.8032128514056338,63.30574015023315,37.382358107898,20.400000000000418,16.982358107897582,1.3642799058528619,20.400000000000418,0.0,16.982358107897582,32.0
2025-03-03,2,63.30574015023315,2.131782945736437,63.30574015023315,37.382358107898,19.500000000001183,17.882358107896817,1.3040910864770527,19.500000000001183,0.0,17.882358107896817,105.0
2025-02-03,2,63.30574015023315,2.1956087824351327,63.30574015023315,37.382358107898,77.49999999999923,40.11764189210123,5.182926112921254,77.49999999999923,0.0,40.11764189210123,118.0
2024-12-02,2,63.30574015023315,1.844262295081979,63.30574015023315,37.382358107898,26.700000000001722,10.682358107896277,1.7856016414839713,26.70000000000172,3.552713678800501e-15,10.682358107896274,139.0
2024-10-01,2,63.30574015023315,0.6382978723404196,63.30574015023315,37.382358107898,21.999999999999797,15.382358107898202,1.4712822514099053,21.999999999999797,0.0,15.382358107898202,31.0
2024-09-03,2,63.30574015023315,0.20833333333333628,63.30574015023315,37.382358107898,20.599999999999508,16.782358107898492,1.3776551990474366,20.599999999999508,0.0,16.782358107898492,87.0
